id,directory,filepath,function_name,description,input_parameters,returns
1,core,`myR/R/core/data_preparation.R`,`.get_feature_vector`,Internal helper to extract a feature (gene or metadata column) from a Seurat object.,"`object`: Seurat object, `feature`: Feature name (gene or metadata column), `assay`: Assay to use (default: DefaultAssay), `slot`: Slot to use (default: ""data""), `cells`: Subset of cells to extract (default: all cells)",Numeric vector of feature values
2,core,`myR/R/core/data_preparation.R`,`get_feature_vec`,Extracts a feature (gene or metadata column) from a Seurat object.,"`object`: Seurat object, `feature`: Feature name (gene or metadata column), `assay`: Assay to use (default: DefaultAssay), `slot`: Slot to use (default: ""data""), `cells`: Subset of cells to extract (default: all cells)",Numeric vector of feature values
3,core,`myR/R/core/data_preparation.R`,`get_feature_matrix`,Extracts multiple features from a Seurat object and returns as a matrix.,"`object`: Seurat object, `features`: Character vector of feature names, `assay`: Assay to use (default: DefaultAssay), `slot`: Slot to use (default: ""data""), `cells`: Subset of cells to extract (default: all cells)",Matrix with features as rows and cells as columns
4,core,`myR/R/core/data_preparation.R`,`prepare_metadata_table`,Extracts and optionally filters metadata from a Seurat object.,"`object`: Seurat object, `columns`: Specific columns to extract (NULL = all columns), `cells`: Subset of cells (NULL = all cells), `drop_na`: Whether to drop rows with NA values (default: FALSE)",Data frame of metadata
5,core,`myR/R/core/data_preparation.R`,`aggregate_expression_by_group`,"Aggregates gene expression across cells within groups (e.g., clusters, samples).","`object`: Seurat object, `features`: Features (genes) to aggregate, `group_by`: Metadata column to group by, `method`: Aggregation method: ""mean"", ""median"", ""sum"" (default: ""mean""), `assay`: Assay to use (default: DefaultAssay), `slot`: Slot to use (default: ""data"")",Matrix with features as rows and groups as columns
6,core,`myR/R/core/data_preparation.R`,`prepare_count_matrix`,Extracts a count matrix from a Seurat object with optional filtering.,"`object`: Seurat object, `assay`: Assay to use (default: ""RNA""), `slot`: Slot to use (default: ""counts""), `features`: Features to include (NULL = all), `cells`: Cells to include (NULL = all), `min_cells`: Minimum number of cells expressing a feature (default: 0), `min_features`: Minimum number of features expressed in a cell (default: 0)",Sparse or dense matrix of counts
7,core,`myR/R/core/data_preparation.R`,`convert_to_long_format`,Converts expression data to long (tidy) format for ggplot2.,"`object`: Seurat object, `features`: Features to include, `metadata_cols`: Metadata columns to include, `assay`: Assay to use (default: DefaultAssay), `slot`: Slot to use (default: ""data""), `cells`: Cells to include (NULL = all)","Data frame in long format with columns: cell, feature, expression, and metadata"
8,core,`myR/R/core/data_preparation.R`,`check_data_quality`,Performs basic quality checks on expression data.,"`data`: Matrix or data frame of expression data, `check_finite`: Check for infinite values (default: TRUE), `check_na`: Check for NA values (default: TRUE), `check_negative`: Check for negative values (default: TRUE)",List with logical flags and counts of issues found
9,core,`myR/R/core/validation.R`,`validate_seurat`,Checks if the input is a valid Seurat object with expected components.,"`obj`: Object to validate, `assay`: Optional assay name to check for, `reduction`: Optional reduction name to check for, `min_cells`: Minimum number of cells required, `min_features`: Minimum number of features required","TRUE if valid, stops with error message otherwise"
10,core,`myR/R/core/validation.R`,`validate_metadata_column`,Checks if a metadata column exists and optionally validates its type.,"`obj`: Seurat object or data frame, `column_name`: Column name to validate, `required_type`: Optional required type (""numeric"", ""factor"", ""character""), `allow_na`: Whether NA values are allowed","TRUE if valid, stops with error message otherwise"
11,core,`myR/R/core/validation.R`,`validate_genes`,Checks if genes exist in the object and optionally filters to valid genes.,"`obj`: Seurat object or character vector of available genes, `genes`: Character vector of genes to validate, `min_present`: Minimum number of genes that must be present (default: all), `assay`: Assay to check genes in (for Seurat objects), `warn_missing`: Whether to warn about missing genes",Character vector of valid genes present in the object
12,core,`myR/R/core/validation.R`,`validate_numeric_range`,Checks if a numeric parameter is within acceptable range.,"`value`: Numeric value to validate, `param_name`: Name of parameter (for error messages), `min`: Minimum allowed value (inclusive), `max`: Maximum allowed value (inclusive), `allow_na`: Whether NA is allowed","TRUE if valid, stops with error message otherwise"
13,core,`myR/R/core/validation.R`,`validate_choice`,Validates that a value is one of allowed choices (like match.arg but more informative).,"`value`: Value to validate, `param_name`: Name of parameter (for error messages), `choices`: Vector of allowed values, `multiple`: Whether multiple choices are allowed",The validated value (or values if multiple=TRUE)
14,core,`myR/R/core/validation.R`,`validate_path`,Checks if a file path exists and optionally validates extension.,"`path`: File path to validate, `must_exist`: Whether file must already exist, `extensions`: Optional vector of allowed extensions (e.g., c(""csv"", ""txt"")), `type`: Type of path (""file"" or ""directory"")","Normalized path if valid, stops with error otherwise"
15,core,`myR/R/core/validation.R`,`create_error_message`,"Helper to create consistent, informative error messages.","`context`: Context where error occurred (e.g., function name), `message`: Main error message, `suggestion`: Optional suggestion for fixing the error",Formatted error message
16,core,`myR/R/core/validation.R`,`check_packages`,Checks if required packages are installed and optionally loads them.,"`packages`: Character vector of package names, `load`: Whether to load the packages (default: FALSE)","TRUE if all packages available, stops with error otherwise"
17,analysis,`myR/R/analysis/cell_communication/nichenet_analysis.R`,`ligand_to_target`,Retrieves ligand-target gene regulatory potential from NicheNet databases.,"`ligand`: Character vector of ligand genes, `target`: Character vector of target genes, `lr_network`: Ligand-receptor network (from NicheNet), `sig_network`: Signaling network (from NicheNet), `gr_network`: Gene regulatory network (from NicheNet), `top_n_targets`: Number of top targets to return per ligand (default: 250)",Data frame with ligand-target regulatory potential scores
18,analysis,`myR/R/analysis/cell_communication/nichenet_analysis.R`,`run_nichenet_analysis`,"Performs a comprehensive NicheNet cell-cell communication analysis workflow, including ligand activity prediction, receptor inference, and visualization.","`seurat_obj`: Seurat object, `sender_cells`: Vector of sender cell identities or logical vector, `receiver_cells`: Vector of receiver cell identities or logical vector, `condition_oi`: Condition of interest for receiver DE analysis, `condition_ref`: Reference condition for receiver DE analysis, `ident_col`: Identity column in metadata (default: ""seurat_clusters""), `condition_col`: Condition column in metadata (required for DE), `lr_network`: Ligand-receptor network (from NicheNet), `sig_network`: Signaling network (from NicheNet), `gr_network`: Gene regulatory network (from NicheNet), `ligand_target_matrix`: Pre-computed ligand-target matrix (optional), `expressed_pct`: Expression percentage threshold (default: 0.10), `top_n_ligands`: Number of top ligands to analyze (default: 20), `top_n_targets`: Number of top targets per ligand (default: 200), `plot_circos`: Generate Circos plot (default: FALSE), `output_dir`: Directory for saving plots (default: NULL)","List containing: ligand_activities, best_ligands, ligand_target_links, ligand_receptor_links, plots, warnings"
19,analysis,`myR/R/analysis/cell_communication/nichenet_analysis.R`,`prepare_nichenet_circos_data`,Prepares ligand-receptor and ligand-target data for Circos visualization.,"`ligand_receptor_links`: Data frame with ligand-receptor pairs, `ligand_target_links`: Data frame with ligand-target regulatory links, `ligand_activities`: Data frame with ligand activity scores, `top_n_ligands`: Number of top ligands to include (default: 10), `top_n_targets`: Number of top targets per ligand (default: 20)",List with formatted data for Circos plot
20,analysis,`myR/R/analysis/cell_communication/nichenet_analysis.R`,`draw_nichenet_circos_plot`,Creates a Circos plot showing ligand-receptor and ligand-target interactions.,"`circos_data`: List from prepare_nichenet_circos_data, `ligand_color`: Color for ligands (default: ""#E41A1C""), `receptor_color`: Color for receptors (default: ""#377EB8""), `target_color`: Color for targets (default: ""#4DAF4A"")",NULL (plot is drawn to current device)
21,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`prepare_pseudobulk_edgeR`,Aggregates single-cell counts to pseudo-bulk level for differential expression analysis.,"`object`: Seurat object, `sample_col`: Metadata column identifying samples/replicates, `group_col`: Metadata column for grouping (e.g., condition, treatment), `cluster_col`: Optional cluster column for per-cluster analysis (default: NULL), `target_cluster`: If cluster_col is specified, analyze only this cluster (default: NULL), `assay`: Assay to use (default: ""RNA""), `slot`: Slot to use (default: ""counts""), `min_cells`: Minimum cells per sample to include (default: 10), `min_counts`: Minimum total counts per gene (default: 10)","List containing counts, metadata, and cluster info"
22,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`run_pseudobulk_deg`,Performs edgeR-based pseudo-bulk differential gene expression analysis.,"`object`: Seurat object or prepared pseudobulk list, `sample_col`: Sample identifier column, `group_col`: Group comparison column, `comparison`: Two-element vector for comparison (e.g., c(""Treatment"", ""Control"")), `cluster_col`: Optional cluster column, `target_cluster`: Specific cluster to analyze, `mode`: Analysis mode: ""overall"", ""per_cluster"", ""specific_cluster"", `assay`: Assay to use (default: ""RNA""), `slot`: Slot to use (default: ""counts""), `min_cells`: Minimum cells per sample (default: 10), `min_counts`: Minimum total counts per gene (default: 10), `fdr_threshold`: FDR threshold (default: 0.05), `logfc_threshold`: Log fold change threshold (default: 0)",Data frame with DE results or list of data frames if per_cluster
23,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`.run_edger_analysis`,Internal edgeR Analysis.,"`counts`: counts, `metadata`: metadata, `group_col`: group_col, `comparison`: comparison, `fdr_threshold`: fdr_threshold, `logfc_threshold`: logfc_threshold",Data frame with DE results
24,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`linear_seurat`,"Performs linear regression analysis for gene expression against a regressor with support for continuous, categorical, and ordinal predictors.","`sobj`: Seurat object, `layer`: Expression layer: ""counts"", ""data"", ""scale.data"", `features`: Features to test (default: ""all""), `regressor`: Regressor variable name in metadata, `regressor.type`: Type: ""continuous"", ""categorical"", ""ordinal"", `reference.level`: Reference level for categorical, `ordinal.method`: Method for ordinal: ""linear"", ""polynomial"", ""spline"", `link.function`: Link function: ""linear"", ""poisson"", ""negative.binomial"", `effect`: Effect type: ""fixed"", ""random"", `covariates`: Covariate column names, `min.cells`: Minimum cells expressing gene (default: 10), `return.full`: Return full results including Seurat object",Data frame with regression results
25,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`create_analysis_config`,"Creates a configuration object to manage metadata column names consistently throughout complex experimental designs (e.g., GeoMx with patient, drug, timepoint).","`patient`: Column name for patient ID, `drug`: Column name for drug/treatment, `timepoint`: Column name for timepoint (e.g., pre/post), `ck`: Column name for stratification variable (e.g., CK status), `response`: Column name for treatment response, `aoi`: Column name for AOI (Area of Interest) ID",Named list containing column names
26,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`fit_lmm_single_gene`,Internal helper to fit an lmer model for one gene with complex experimental design.,"`gene_expr`: Numeric vector of expression values, `metadata`: Metadata data frame, `config`: Analysis configuration from create_analysis_config(), `formula_str`: Optional custom formula string, `formula_components`: List with fixed, interactions, and random components, `use_config_names`: Whether to map generic names to config names","List with model, effects, anova, convergence status"
27,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`summarize_lmm_results`,Internal helper to combine results from multiple LMMs and calculate adjusted p-values.,"`lmm_results`: List of results from fit_lmm_single_gene, `config`: Analysis configuration",Tidy data frame summarizing all model effects
28,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`run_lmm_multiple_genes`,"Applies LMM to multiple genes in parallel. Main workhorse for LMM analysis with complex experimental designs (e.g., patient, drug, timepoint, response).","`seurat_obj`: Seurat object, `genes`: Character vector of gene names to analyze, `config`: Analysis configuration from create_analysis_config(), `formula_str`: Optional custom formula string, `formula_components`: List specifying model formula components, `use_config_names`: Whether to use config names in formula, `n_cores`: Number of CPU cores for parallel processing, `verbose`: Whether to print progress messages","List containing: raw_results, summary, converged_genes, total_genes"
29,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`find_response_differential_genes`,Identifies genes where treatment response differs by drug from LMM results.,"`lmm_summary`: Summary data frame from run_lmm_multiple_genes, `config`: Analysis configuration, `drug_name`: Optional specific drug name to focus on, `top_n`: Number of top genes to return",Data frame of top genes ranked by effect size
30,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`find_drug_specific_genes`,Identifies genes most strongly associated with specific drugs.,"`lmm_summary`: Summary data frame from run_lmm_multiple_genes, `config`: Analysis configuration, `top_n`: Number of top genes to return",Data frame of top genes ranked by effect size
31,analysis,`myR/R/analysis/markers/marker_processing.R`,`marker_trim`,Filters marker gene results based on log fold change direction and adjusted p-value threshold.,"`markers`: Data frame from FindMarkers/FindAllMarkers, `direction`: Filter direction: ""up"" (positive logFC), ""down"" (negative logFC), or ""both"" (default: ""both""), `padj_threshold`: Adjusted p-value threshold (default: 0.05), `logfc_col`: Name of log fold change column (default: ""avg_log2FC""), `padj_col`: Name of adjusted p-value column (default: ""p_val_adj"")",Filtered data frame
32,analysis,`myR/R/analysis/markers/marker_processing.R`,`marker_filter`,"Removes ribosomal, mitochondrial, hemoglobin, and other unwanted genes from marker results.","`markers`: Data frame from FindMarkers/FindAllMarkers, `remove_ribo`: Remove ribosomal genes (^RP[SL]) (default: TRUE), `remove_mito`: Remove mitochondrial genes (^MT-) (default: TRUE), `remove_hb`: Remove hemoglobin genes (^HB[AB]) (default: TRUE), `remove_ig`: Remove immunoglobulin genes (^IG[HKL]) (default: FALSE), `remove_tr`: Remove T-cell receptor genes (^TR[ABGD]) (default: FALSE), `custom_patterns`: Additional regex patterns to remove (default: NULL), `gene_col`: Name of gene column (default: ""gene"" or rownames if not present)",Filtered data frame
33,analysis,`myR/R/analysis/markers/marker_processing.R`,`lrf`,"Filters out ""(Intercept)"" terms from linear mixed model results.","`results`: Data frame with model results, `term_col`: Name of column containing term names (default: ""term"")",Filtered data frame
34,analysis,`myR/R/analysis/markers/marker_processing.R`,`all_markers_to_list`,"Converts FindAllMarkers output to a named list, with one element per cluster.","`all_markers`: Data frame from FindAllMarkers, `cluster_col`: Name of cluster column (default: ""cluster""), `gene_col`: Name of gene column (default: ""gene"" or rownames)","Named list of marker data frames, one per cluster"
35,analysis,`myR/R/analysis/markers/marker_processing.R`,`marker_print_all`,Prints top N marker genes for each cluster from FindAllMarkers output.,"`all_markers`: Data frame from FindAllMarkers, `n`: Number of top markers to print per cluster (default: 10), `order_by`: Column to order by (default: ""avg_log2FC""), `decreasing`: Sort in decreasing order (default: TRUE), `cluster_col`: Name of cluster column (default: ""cluster""), `gene_col`: Name of gene column (default: ""gene"" or rownames)",Invisibly returns the input data frame
36,analysis,`myR/R/analysis/markers/marker_processing.R`,`marker_print`,Prints top N marker genes from a single marker data frame.,"`markers`: Data frame from FindMarkers, `n`: Number of top markers to print (default: 10), `order_by`: Column to order by (default: ""avg_log2FC""), `decreasing`: Sort in decreasing order (default: TRUE), `gene_col`: Name of gene column (default: ""gene"" or rownames), `columns`: Columns to display (default: c(""avg_log2FC"", ""p_val_adj""))",Invisibly returns the input data frame
37,analysis,`myR/R/analysis/markers/marker_processing.R`,`synthesize_markers`,Combines p-values and log fold changes from multiple FindMarkers results using Fisher's method for p-values and weighted mean for log fold changes.,"`marker_list`: Named list of marker data frames, `gene_col`: Name of gene column (default: ""gene"" or rownames), `logfc_col`: Name of log fold change column (default: ""avg_log2FC""), `pval_col`: Name of p-value column (default: ""p_val""), `weights`: Optional weights for each dataset (default: equal weights)",Data frame with synthesized results
38,analysis,`myR/R/analysis/markers/marker_processing.R`,`synthesize_ranks`,Combines ranks from multiple FindMarkers results using geometric mean of ranks.,"`marker_list`: Named list of marker data frames, `gene_col`: Name of gene column (default: ""gene"" or rownames), `rank_by`: Column to rank by (default: ""avg_log2FC""), `decreasing`: Rank in decreasing order (default: TRUE)",Data frame with synthesized ranks
39,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`convert_gene_ids`,"Converts gene identifiers between different formats (e.g., SYMBOL, ENTREZID, ENSEMBL).","`genes`: Character vector of gene identifiers, `from`: Source ID type (default: ""SYMBOL""), `to`: Target ID type (default: ""ENTREZID""), `org_db`: Organism database (default: org.Hs.eg.db for human), `remove_na`: Remove genes that couldn't be converted (default: TRUE)",Named character vector of converted IDs (names are original IDs)
40,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`prepare_gene_lists`,Prepares gene lists from differential expression results for pathway analysis.,"`deg_results`: Data frame with DE results (must contain logFC and p-value columns), `gene_col`: Name of gene column (default: ""gene"" or rownames), `logfc_col`: Name of log fold change column (default: ""logFC"" or ""avg_log2FC""), `pval_col`: Name of p-value column (default: ""pvalue"" or ""p_val""), `padj_col`: Name of adjusted p-value column (default: ""padj"" or ""p_val_adj""), `padj_threshold`: Adjusted p-value threshold (default: 0.05), `logfc_threshold`: Log fold change threshold (default: 0), `convert_ids`: Convert gene IDs to ENTREZID (default: TRUE)","List containing: ranked_genes, up_genes, down_genes, sig_genes, background_genes"
41,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`get_pathway_sets`,Returns available pathway database identifiers for GSEA.,"`species`: Species code (default: ""Homo sapiens""), `category`: MSigDB category (e.g., ""H"", ""C2"", ""C5""), `subcategory`: MSigDB subcategory (e.g., ""CP:KEGG"", ""GO:BP"")",Character vector of available gene set names
42,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`run_go_analysis`,Performs Gene Ontology (GO) enrichment analysis using clusterProfiler.,"`genes`: Character vector of gene IDs (ENTREZID format), `universe`: Background gene universe (optional), `ont`: GO ontology: ""BP"", ""MF"", ""CC"", or ""ALL"" (default: ""BP""), `pval_cutoff`: P-value cutoff (default: 0.05), `qval_cutoff`: Q-value cutoff (default: 0.05), `org_db`: Organism database (default: org.Hs.eg.db)",enrichResult object from clusterProfiler
43,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`run_kegg_analysis`,Performs KEGG pathway enrichment analysis using clusterProfiler.,"`genes`: Character vector of gene IDs (ENTREZID format), `universe`: Background gene universe (optional), `organism`: KEGG organism code (default: ""hsa"" for human), `pval_cutoff`: P-value cutoff (default: 0.05), `qval_cutoff`: Q-value cutoff (default: 0.05)",enrichResult object from clusterProfiler
44,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`run_gsea_analysis`,Performs GSEA using fgsea with MSigDB gene sets.,"`ranked_genes`: Named numeric vector of genes ranked by score (e.g., logFC), `species`: Species for MSigDB (default: ""Homo sapiens""), `category`: MSigDB category (default: ""H"" for Hallmark), `subcategory`: MSigDB subcategory (optional), `min_size`: Minimum gene set size (default: 15), `max_size`: Maximum gene set size (default: 500), `nperm`: Number of permutations (default: 10000)",Data frame with GSEA results
45,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`format_results`,Standardizes output from different pathway analysis methods.,"`results`: Results object from GO, KEGG, or GSEA analysis, `method`: Method used: ""GO"", ""KEGG"", or ""GSEA""",Standardized data frame
46,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`myGO`,"Runs GO, KEGG, and GSEA analyses and returns combined results.","`deg_results`: Data frame with differential expression results, `run_go`: Perform GO analysis (default: TRUE), `run_kegg`: Perform KEGG analysis (default: TRUE), `run_gsea`: Perform GSEA (default: TRUE), `go_ont`: GO ontology (default: ""BP""), `gsea_category`: MSigDB category for GSEA (default: ""H""), `padj_threshold`: Adjusted p-value threshold for gene selection (default: 0.05), `logfc_threshold`: Log fold change threshold (default: 0)",List containing results from each analysis method
47,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`prepare_geomx_data`,Prepares raw GeoMx count data for analysis by organizing into a standard format.,"`counts`: Count matrix (genes x ROIs), `metadata`: Data frame with ROI-level metadata, `feature_info`: Optional data frame with gene/probe information","List containing: counts, metadata, features"
48,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`q3_normalize`,Performs Q3 (third quartile) normalization on GeoMx count data.,"`geomx_data`: List from prepare_geomx_data or count matrix, `scale_factor`: Scaling factor after normalization (default: 1000)",Normalized data in same format as input
49,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`perform_qc`,Performs basic QC checks and filtering on GeoMx data.,"`geomx_data`: List from prepare_geomx_data, `min_counts`: Minimum total counts per ROI (default: 1000), `min_genes`: Minimum number of detected genes per ROI (default: 100), `min_rois`: Minimum number of ROIs expressing a gene (default: 2)",Filtered GeoMx data list with QC metrics added to metadata
50,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`find_deg_geomx`,Performs differential expression analysis on GeoMx data using limma or Wilcoxon test.,"`geomx_data`: List from prepare_geomx_data (normalized), `group_col`: Metadata column for grouping, `comparison`: Comparison to make (e.g., c(""Treatment"", ""Control"")), `method`: Method to use: ""limma"" or ""wilcox"" (default: ""limma""), `covariates`: Optional covariate columns to include in limma model, `log_transform`: Apply log2(x+1) transformation (default: TRUE for limma)",Data frame with differential expression results
51,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`.geomx_limma`,Internal limma Analysis.,"`expr_data`: Expression data, `metadata`: Metadata, `group_col`: Group column, `comparison`: Comparison, `covariates`: Covariates",Data frame with limma results
52,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`.geomx_wilcox`,Internal Wilcoxon Test.,"`expr_data`: Expression data, `metadata`: Metadata, `group_col`: Group column, `comparison`: Comparison",Data frame with Wilcoxon results
53,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`plot_deg_volcano`,Creates a volcano plot from differential expression results.,"`deg_results`: Data frame from find_deg_geomx, `padj_threshold`: Adjusted p-value threshold (default: 0.05), `logfc_threshold`: Log fold change threshold (default: 1), `label_top`: Number of top genes to label (default: 10), `title`: Plot title",ggplot object
54,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`plot_deg_heatmap`,Creates a heatmap of top differentially expressed genes.,"`geomx_data`: GeoMx data list (normalized), `deg_results`: Data frame from find_deg_geomx, `group_col`: Metadata column for grouping, `n_genes`: Number of top genes to plot (default: 50), `scale_rows`: Z-score scale rows (default: TRUE)",Heatmap (ComplexHeatmap or pheatmap object)
55,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`run_geomx_analysis`,Wrapper function to run the complete GeoMx analysis workflow.,"`raw_data`: Raw data matrix., `metadata_SP`: Metadata data frame., `group_var`: Column for differential expression., `group1`: First group for comparison., `group2`: Second group for comparison (optional)., `qc_filter`: Perform QC filtering (default: TRUE)., `min_genes`: Minimum number of detected genes per ROI (default: 100)., `min_counts`: Minimum total counts per ROI (default: 1000).","List containing processed data, DEG results, and plots."
56,analysis,`myR/R/analysis/trajectory/trajectory_inference.R`,`run_slingshot_from_seurat`,Runs Slingshot trajectory inference from a Seurat object and returns a SingleCellExperiment object with computed trajectories.,"`seurat_obj`: Seurat object, `cluster_col`: Cluster column in metadata (default: ""seurat_clusters""), `reduction`: Dimensionality reduction to use (default: ""umap""), `start_cluster`: Starting cluster for trajectory (optional), `end_cluster`: Ending cluster(s) for trajectory (optional), `assay`: Assay to use (default: ""RNA""), `slot`: Slot to use (default: ""counts"")",SingleCellExperiment object with Slingshot results
57,analysis,`myR/R/analysis/trajectory/trajectory_inference.R`,`analyze_gene_dynamics`,"Fits a Generalized Additive Model (GAM) to model gene expression changes along pseudotime, accounting for conditions.","`sce`: SingleCellExperiment object from run_slingshot_from_seurat, `gene`: Gene name to analyze, `condition`: Optional condition variable for comparison, `lineage`: Lineage number to analyze (default: 1), `plot`: Create plots (default: TRUE), `output_dir`: Directory for saving plots (optional)","List containing: model, summary, plot"
58,analysis,`myR/R/analysis/trajectory/trajectory_inference.R`,`process_gene_list_dynamics`,"Processes a list of genes using analyze_gene_dynamics, with optional parallel processing.","`sce`: SingleCellExperiment object, `genes`: Character vector of gene names, `condition`: Optional condition variable, `lineage`: Lineage number (default: 1), `plot`: Create plots (default: FALSE), `output_dir`: Directory for saving results, `n_cores`: Number of cores for parallel processing (default: 1)",List of results for each gene
59,analysis,`myR/R/analysis/trajectory/trajectory_inference.R`,`analyze_gene_dynamics_tradeSeq`,Fits GAMs using tradeSeq for differential expression patterns along trajectories.,"`sce`: SingleCellExperiment object from Slingshot, `gene`: Gene name to analyze, `n_knots`: Number of knots for spline (default: 6), `conditions`: Optional condition variable",List with test results
60,signatures,`myR/R/signatures/signature_discovery.R`,`find_gene_signature`,"Discovers gene signatures using multiple methods including Random Forest, LASSO, limma, NMF, Wilcoxon, GAM, and PCA.","`data`: Seurat object, count matrix, or data.frame, `meta.data`: Optional metadata data.frame (required if data is not Seurat), `target_var`: Column name in metadata representing the target variable, `target_group`: For numeric: quantile cutoff or list(low, high). For factor: levels to compare, `method`: One of: ""tree_based"", ""lasso"", ""limma"", ""nmf"", ""wilcoxon"", ""gam"", ""pca_loadings"", `n_features`: Number of top features to return (default: 50), `preprocess`: Whether to normalize/scale data (default: TRUE), `min_cells`: Minimum cells expressing gene (default: 10), `min_pct`: Minimum percentage of cells expressing gene (default: 0.01), `return_model`: Return full model object (default: FALSE), `seed`: Random seed for reproducibility (default: 42), `...`: Additional method-specific parameters","List containing: genes, weights, scores, performance, method, model"
61,signatures,`myR/R/signatures/signature_discovery.R`,`print.gene_signature`,Print Method for gene_signature Objects.,"`x`: gene_signature object, `...`: Additional arguments (unused)",None (prints to console)
62,signatures,`myR/R/signatures/signature_discovery.R`,`.find_signature_rf`,Internal helper for Random Forest signature discovery.,"`expr_mat`: Expression matrix, `target_binary`: Binary target vector, `n_features`: Number of features to return, `n_groups`: Number of groups, `return_model`: Whether to return the model",List of signature results
63,signatures,`myR/R/signatures/signature_discovery.R`,`.find_signature_lasso`,Internal helper for LASSO signature discovery.,"`expr_mat`: Expression matrix, `target_binary`: Binary target vector, `n_features`: Number of features to return, `n_groups`: Number of groups, `return_model`: Whether to return the model",List of signature results
64,signatures,`myR/R/signatures/signature_discovery.R`,`.find_signature_limma`,Internal helper for limma signature discovery.,"`expr_mat`: Expression matrix, `target_binary`: Binary target vector, `n_features`: Number of features to return, `n_groups`: Number of groups, `return_model`: Whether to return the model",List of signature results
